,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,player_ranking,opponent_name,match_win_loss,match_score
194,2002,Tennis Masters Cup,"Shanghai, China",2002.11.11 - 2002.11.17,Indoor,Hard,6,Lleyton Hewitt,L,57 75 57
195,2002,Tennis Masters Cup,"Shanghai, China",2002.11.11 - 2002.11.17,Indoor,Hard,6,Thomas Johansson,W,63 75
196,2002,Tennis Masters Cup,"Shanghai, China",2002.11.11 - 2002.11.17,Indoor,Hard,6,Jiri Novak,W,60 46 62
197,2002,Tennis Masters Cup,"Shanghai, China",2002.11.11 - 2002.11.17,Indoor,Hard,6,Juan Carlos Ferrero,W,63 64
198,2002,ATP World Tour Masters 1000 Paris,"Paris, France",2002.10.28 - 2002.11.03,Indoor,Hard,8,Lleyton Hewitt,L,46 46
199,2002,ATP World Tour Masters 1000 Paris,"Paris, France",2002.10.28 - 2002.11.03,Indoor,Hard,8,Tommy Haas,W,62 76(2) 
200,2002,ATP World Tour Masters 1000 Paris,"Paris, France",2002.10.28 - 2002.11.03,Indoor,Hard,8,Xavier Malisse,W,62 64
201,2002,Basel,"Basel, Switzerland",2002.10.21 - 2002.10.27,Indoor,Carpet,8,David Nalbandian,L,76(2) 57 36
202,2002,Basel,"Basel, Switzerland",2002.10.21 - 2002.10.27,Indoor,Carpet,8,Andy Roddick,W,76(5) 61
203,2002,Basel,"Basel, Switzerland",2002.10.21 - 2002.10.27,Indoor,Carpet,8,Alexander Waske,W,63 76(1) 
204,2002,Basel,"Basel, Switzerland",2002.10.21 - 2002.10.27,Indoor,Carpet,8,Martin Verkerk,W,63 63
205,2002,ATP Masters Series Madrid,"Madrid, Spain",2002.10.14 - 2002.10.20,Indoor,Hard,7,Fabrice Santoro,L,57 36
206,2002,ATP Masters Series Madrid,"Madrid, Spain",2002.10.14 - 2002.10.20,Indoor,Hard,7,Nicolas Lapentti,W,63 64
207,2002,ATP Masters Series Madrid,"Madrid, Spain",2002.10.14 - 2002.10.20,Indoor,Hard,7,Marcelo Rios,W,64 62
208,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,13,Jiri Novak,W,64 61 36 64
209,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,13,Carlos Moya,W,62 63
210,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,13,Bohdan Ulihrach,W,63 63
211,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,13,Tommy Robredo,W,62 67(5) 64
212,2002,Vienna,"Vienna, Austria",2002.10.07 - 2002.10.13,Indoor,Hard,13,Zeljko Krajan,W,75 61
213,2002,Moscow,"Moscow, Russia",2002.09.30 - 2002.10.06,Indoor,Carpet,13,Marat Safin,L,57 46
214,2002,Moscow,"Moscow, Russia",2002.09.30 - 2002.10.06,Indoor,Carpet,13,Jarkko Nieminen,W,61 64
215,2002,Moscow,"Moscow, Russia",2002.09.30 - 2002.10.06,Indoor,Carpet,13,Denis Golovanov,W,60 61
216,2002,MAR v. SUI WG Q,Casablanca,2002.09.16 - 2002.09.22,Outdoor,Clay,13,Younes El Aynaoui,W,63 62 61
217,2002,MAR v. SUI WG Q,Casablanca,2002.09.16 - 2002.09.22,Outdoor,Clay,13,Hicham Arazi,W,63 62 61
218,2002,US Open,"New York, NY, U.S.A.",2002.08.26 - 2002.09.08,Outdoor,Hard,13,Max Mirnyi,L,36 67(5) 46
219,2002,US Open,"New York, NY, U.S.A.",2002.08.26 - 2002.09.08,Outdoor,Hard,13,Xavier Malisse,W,46 63 64 64
220,2002,US Open,"New York, NY, U.S.A.",2002.08.26 - 2002.09.08,Outdoor,Hard,13,Michael Chang,W,63 61 63
221,2002,US Open,"New York, NY, U.S.A.",2002.08.26 - 2002.09.08,Outdoor,Hard,13,Jiri Vanek,W,61 63 46 75
